Strain,Contig,M9_Expression,Replicate,M9_Average_Expression,M9_SD,M9_SE,TB_Expression,TB_Average_Expression,TB_SD,TB_SE,Average_Ratio,Shape,Gene,ColorLabels,,,,,,
5243T,contig_3_-,5,2,5.67,4.04,2.33,10,3.67,5.51,3.18,,trabasic,traB_2,#FFB300,,,,,,
5243T,contig_3_-,10,3,5.67,4.04,2.33,0,3.67,5.51,3.18,,trabasic,traB_2,#FFB300,,,,,,
PCU1T,contig_3_-,5960,1,6056.33,118.74,68.56,5584,6050,454.02,262.13,1.001046281,trabasic,traB_2,#FFB300,,,,,,
PCU1T,contig_3_-,6020,2,6056.33,118.74,68.56,6075,6050,454.02,262.13,,trabasic,traB_2,#FFB300,,,,,,
PCU1T,contig_3_-,6189,3,6056.33,118.74,68.56,6491,6050,454.02,262.13,,trabasic,traB_2,#FFB300,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,1559,1,1505,87.54,50.54,5165,4678.67,564.93,326.16,0.321672612,trabasic,traC,#EF0038,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,1552,2,1505,87.54,50.54,4059,4678.67,564.93,326.16,,trabasic,traC,#EF0038,,,,,,
41T,2_arrow_MOBF_MOBF_39929119791,1404,3,1505,87.54,50.54,4812,4678.67,564.93,326.16,,trabasic,traC,#EF0038,,,,,,
92T,000001F_arrow_MOBP_MOBP_2732881987,1008,1,982.67,33.26,19.2,2502,2085.33,363.76,210.02,0.471229973,trabasic,traC,#EF0038,,,,,,
92T,000001F_arrow_MOBP_MOBP_2732881987,945,2,982.67,33.26,19.2,1923,2085.33,363.76,210.02,,trabasic,traC,#EF0038,,,,,,
92T,000001F_arrow_MOBP_MOBP_2732881987,995,3,982.67,33.26,19.2,1831,2085.33,363.76,210.02,,trabasic,traC,#EF0038,,,,,,
5243T,contig_4_MOBP_MOBP,324,1,402.67,104.32,60.23,143,128,22.61,13.05,3.145859375,trabasic,traC,#EF0038,,,,,,
5243T,contig_4_MOBP_MOBP,363,2,402.67,104.32,60.23,102,128,22.61,13.05,,trabasic,traC,#EF0038,,,,,,
5243T,contig_4_MOBP_MOBP,521,3,402.67,104.32,60.23,139,128,22.61,13.05,,trabasic,traC,#EF0038,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,1,0,0,0,2,1,1,0.58,,trabasic,traC,#EF0038,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,2,0,0,0,1,1,1,0.58,,trabasic,traC,#EF0038,,,,,,
PCU1T,contig_4_MOBP_MOBP,0,3,0,0,0,0,1,1,0.58,,trabasic,traC,#EF0038,,,,,,
5243T,contig_3_-,0,1,0,0,0,2,1,1,0.58,,trabasic,traC_1,#EF0038,,,,,,
5243T,contig_3_-,0,2,0,0,0,1,1,1,0.58,,trabasic,traC_1,#EF0038,,,,,,
5243T,contig_3_-,0,3,0,0,0,0,1,1,0.58,,trabasic,traC_1,#EF0038,,,,,,
PCU1T,contig_3_-,2,1,1,1,0.58,3,1.33,1.53,0.88,0.751879699,trabasic,traC_1,#EF0038,,,,,,
PCU1T,contig_3_-,1,2,1,1,0.58,0,1.33,1.53,0.88,,trabasic,traC_1,#EF0038,,,,,,
PCU1T,contig_3_-,0,3,1,1,0.58,1,1.33,1.53,0.88,,trabasic,traC_1,#EF0038,,,,,,
5243T,contig_3_-,0,1,0.33,0.58,0.33,0,0.67,0.58,0.33,0.492537313,trabasic,traC_2,#EF0038,,,,,,
5243T,contig_3_-,1,2,0.33,0.58,0.33,1,0.67,0.58,0.33,,trabasic,traC_2,#EF0038,,,,,,
5243T,contig_3_-,0,3,0.33,0.58,0.33,1,0.67,0.58,0.33,,trabasic,traC_2,#EF0038,,,,,,
PCU1T,contig_3_-,1310,1,1318,13,7.51,946,1024,83.45,48.18,1.287109375,trabasic,traC_2,#EF0038,,,,,,
PCU1T,contig_3_-,1311,2,1318,13,7.51,1014,1024,83.45,48.18,,trabasic,traC_2,#EF0038,,,,,,
PCU1T,contig_3_-,1333,3,1318,13,7.51,1112,1024,83.45,48.18,,trabasic,traC_2,#EF0038,,,,,,
5243T,contig_3_-,3,1,2.33,0.58,0.33,0,0.33,0.58,0.33,7.060606061,trabasic,traD,#040F0F,,,,,,
5243T,contig_3_-,2,2,2.33,0.58,0.33,1,0.33,0.58,0.33,,trabasic,traD,#040F0F,,,,,,
5243T,contig_3_-,2,3,2.33,0.58,0.33,0,0.33,0.58,0.33,,trabasic,traD,#040F0F,,,,,,
