Geneid,M9-PCU1T-1,M9-PCU1T-3,M9-PCU1T-2,TB-PCU1T-6,TB-PCU1T-5,TB-PCU1T-4
insH-5,137,115,126,67,85,73
stfR,75,87,89,40,45,38
tfaR,54,56,29,31,41,29
pinR,336,344,257,124,151,116
ynaE,1786,2786,1994,336,408,442
ynaM,1538,2163,1714,218,301,297
uspF,718,653,682,1400,1228,1119
ompN,21,24,32,27,21,18
micC,1,0,0,3,1,2
ydbK,421,568,533,2518,2005,1685
ydbJ,885,751,736,581,563,565
hslJ,606,525,511,2005,1920,1987
ldhA,1199,1175,1216,2306,2017,1848
ydbH,210,198,189,203,193,164
ynbE,93,78,84,87,83,61
ydbL,65,48,47,51,38,23
feaR,40,30,22,21,22,15
feaB,272,307,282,127,104,107
tynA,226,219,209,90,69,91
paaZ,27,25,23,14,14,20
paaA,23,34,25,16,14,8
paaB,4,5,2,0,1,4
paaC,25,25,18,16,15,6
paaD,29,34,21,13,16,10
paaE,20,45,27,14,7,16
paaF,17,13,13,9,25,12
paaG,11,11,7,11,3,8
paaH,33,28,19,24,26,12
paaI,18,20,16,16,20,17
paaJ,54,64,47,25,27,28
paaK,182,199,158,106,110,117
paaX,191,202,193,230,182,204
paaY,40,36,61,50,34,41
ynbG,0,0,0,0,0,0
insD-2,163,177,167,109,96,99
insC-2,146,119,118,91,96,104
insI-2,177,140,144,224,230,161
pdxI,126,116,85,95,82,60
ydbD,30,20,18,21,24,20
ynbA,12,6,12,4,6,6
ynbB,2,1,3,8,10,6
ynbC,107,124,103,60,51,47
ynbD,115,155,139,99,81,77
azoR,568,624,554,356,309,294
hrpA,4850,4452,4769,7928,7863,6839
ydcF,495,546,488,345,350,402
aldA,490,558,409,326,361,315
cybB,480,345,372,975,880,830
rydC,149,167,187,84,68,63
ydcA,124,114,120,281,254,207
hokB,111,131,143,295,245,271
mokB,58,130,121,461,384,315
sokB,58,70,58,103,105,83
trg,171,169,141,236,218,189
ydcI,413,265,232,190,236,215
ydcJ,146,157,86,59,39,44
opgD,1009,980,934,1195,1175,1239
ydcH,189,178,213,191,194,197
rimL,733,732,671,385,365,316
ydcK,187,191,212,49,31,44
tehA,2527,2412,2885,619,568,519
tehB,3489,2602,3374,495,434,426
ydcL,1054,1121,1284,298,294,260
insQ,640,504,654,310,288,273
ydcO,126,112,118,85,86,74
sutR,93,94,82,104,107,99
rlhA,449,477,423,1075,1001,890
yncJ,118,119,93,83,90,73
hicA,144,141,118,95,80,78
hicB,280,393,366,249,246,242
ydcR,381,368,340,358,345,275
ydcS,44,63,45,44,33,29
ydcT,40,32,28,28,15,16
ydcU,107,99,91,83,66,59
ydcV,82,85,59,45,24,32
patD,121,144,101,51,49,30
yncL,71,69,59,51,44,52
ortT,81,85,80,36,30,27
ydcY,767,809,834,592,566,533
ydcZ,777,709,676,211,169,153
mnaT,391,340,435,114,101,113
curA,223,265,194,141,87,121
mcbR,40,29,18,23,18,15
yncD,126,109,94,71,64,54
yncE,9504,7905,8121,334,314,369
ansP,570,581,536,629,809,773
yncG,72,75,58,10,5,7
yncH,0,1,0,1,3,1
ydcD,18,7,12,25,15,22
yncO,9,7,3,7,9,10
ydcC,8,3,5,11,12,17
pptA,99,94,74,39,49,46
yddH,57,40,55,18,22,11
nhoA,376,350,362,152,127,141
yddE,1531,1455,1357,650,640,629
narV,75,99,75,41,32,19
narW,57,65,72,45,24,22
narY,127,144,127,148,131,110
narZ,256,308,267,831,474,467
narU,86,97,84,202,100,130
yddK,3,1,1,8,2,2
yddL,1,0,0,0,1,1
yddG,120,109,96,179,162,146
fdnG,68,53,43,1621,1863,1746
fdnH,67,74,55,722,932,826
fdnI,146,191,165,208,355,334
yddM,1798,2221,1880,734,793,803
adhP,1649,2387,1425,1727,1611,1479
maeA,2695,2421,2193,15853,15732,14705
sra,2617,3293,2205,1305,755,978
bdm,12,15,10,45,47,44
osmC,2049,2983,1820,956,478,599
ddpF,139,189,140,60,48,42
ddpD,46,52,40,22,18,20
ddpC,52,54,48,30,20,28
ddpB,30,19,34,21,16,15
ddpA,58,50,39,33,27,21
ddpX,14,21,14,3,6,10
dosP,670,492,455,89,49,40
dosC,701,674,609,466,540,457
yddY,45,41,28,8,4,0
yddW,203,202,211,496,339,331
gadC,10559,4796,5322,29970,16739,15504
gadB,5648,2348,2606,20459,11366,10279
pqqL,236,209,261,239,209,173
yddB,80,60,85,26,25,21
yddA,86,54,77,16,10,13
yneP,0,0,1,2,1,4
ydeM,13,7,11,20,20,30
ydeN,43,39,23,395,294,307
ydeO,2,3,1,6,1,4
safA,1,0,0,2,1,0
ydeP,76,60,50,124,104,121
ydeQ,0,1,1,128,177,155
ydeR,4,1,2,61,105,110
ydeS,3,1,1,94,100,81
ydeT,4,6,4,171,247,217
hipA,123,137,96,166,128,103
